Landkreis;Gemeinde;Ortsteil;Haltestelle;Haltestelle_lang;HalteBeschreibung;globaleID;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Breisgau-Hochschwarzwald;Heitersheim;Heitersheim;Bahnhof;Heitersheim Bahnhof;;de:08315:6665;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Breisgau-Hochschwarzwald;Hinterzarten;Hinterzarten;Bahnhof;Hinterzarten Bahnhof;;de:08315:6542;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Breisgau-Hochschwarzwald;Ihringen;Ihringen;Bahnhof;Ihringen Bahnhof;;de:08315:6517;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Breisgau-Hochschwarzwald;Ihringen;Wasenweiler;Bahnhof;Wasenweiler Bahnhof;;de:08315:6534;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Breisgau-Hochschwarzwald;Kirchzarten;Kirchzarten;Bahnhof;Kirchzarten Bahnhof;;de:08315:6519;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Breisgau-Hochschwarzwald;Löffingen;Löffingen;Bahnhof;Löffingen Bahnhof;;de:08315:6543;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Breisgau-Hochschwarzwald;Löffingen;Bachheim;Bahnhof;Bachheim Bahnhof;;de:08315:6659;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Breisgau-Hochschwarzwald;Löffingen;Unadingen;Bahnhof;Unadingen Bahnhof;;de:08315:6681;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Breisgau-Hochschwarzwald;March;Hugstetten;Bahnhof;March Hugstetten Bahnhof;;de:08315:6521;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Breisgau-Hochschwarzwald;Müllheim;Müllheim (Baden);Bahnhof;Müllheim (Baden) Bahnhof;;de:08315:6522;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Breisgau-Hochschwarzwald;Münstertal im Schwarzwald;Dietzelbach;Bahnhof;Dietzelbach Bahnhof;;de:08315:6527;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Breisgau-Hochschwarzwald;Münstertal im Schwarzwald;Hof (Baden);Hof (Baden);Hof (Baden);;de:08315:6714;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Breisgau-Hochschwarzwald;Schallstadt;Schallstadt;Bahnhof;Schallstadt Bahnhof;;de:08315:6677;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Breisgau-Hochschwarzwald;Schluchsee;Aha (Schluchsee);Bahnhof;Aha (Schluchsee) Bahnhof;;de:08315:6535;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Breisgau-Hochschwarzwald;Schluchsee;Schluchsee;Bahnhof;Schluchsee Bahnhof;;de:08315:6546;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Breisgau-Hochschwarzwald;Schluchsee;Seebrugg;Bahnhof;Seebrugg Bahnhof;;de:08315:6547;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Breisgau-Hochschwarzwald;Staufen im Breisgau;Staufen im Breisgau;Bahnhof;Staufen (Brsg) Bahnhof;;de:08315:6526;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
