ID;HST_DHID;HST_Name;Datenquelle;Datenstatus;Longitude;Latitude;Koordindatenquelle;OSM_ID;Sitzplätze;Unterstand;RollstuhlflächeImUnterstand;Fahrplananzeigetafel;Fahrplananzeigetafel_akustisch;Ansagen_vorhanden;Defibrillator;Defibrillator_Lagebeschreibung;Gepäckaufbewahrung;Gepäcktransport;InduktiveHöranlage;InduktiveHöranlageStandort;InfoNotrufsäule;Bahnhofsmission;HaltestelleTotale_Foto;SitzeOderUnterstand_Foto;SitzeOderUnterstandUmgebung_Foto;Fahrplananzeigetafel_Foto;Defibrillator_Foto;Gepäckaufbewahrung_Foto;InfoNotrufsäule_Foto;Bahnhofsmision_Foto;BahnhofsmissionWeg_Foto;BahnhofsmissionÖffnungszeiten_Foto;WeitereBilder1_Foto;WeitereBilder2_Foto;WeitereBilder3_Foto
de:08236:1795;de:08236:1795;Ersingen West;NVBW;Rohdaten;8,6338788;48,9314624;Haltestelle-Sollposition;;nein;nein;;nein;nein;nein;nein;;nein;nein;nein;;keine;nein;;;;;;;;;;;;;
de:08326:6537;de:08326:6537;Bahnhof (Donaueschingen);NVBW;Rohdaten;8,499428;47,9475292;Haltestelle-Sollposition;;nein;nein;;nein;nein;nein;nein;;ja;nein;ja;;keine;nein;https://mobidata-bw.de/bfrk/haltestelle/bilder/de:08326:6537/04f3f75a-3187-478c-bb19-ec02ed9dba5d.jpg;https://mobidata-bw.de/bfrk/haltestelle/bilder/de:08326:6537/7da85bc3-c4db-4c85-8741-94a7a44b19b4.jpg;https://mobidata-bw.de/bfrk/haltestelle/bilder/de:08326:6537/dd56c03d-cdaf-4553-8348-6ddd220c924b.jpg;;;https://mobidata-bw.de/bfrk/haltestelle/bilder/de:08326:6537/5abc58b3-3381-41e5-b1e5-255c13085b4b.jpg;;;;;;;
de:08115:3195;de:08115:3195;Süd (Renningen);NVBW;Rohdaten;8,931946;48,7624843;Haltestelle-Sollposition;;nein;nein;;nein;nein;nein;nein;;nein;nein;nein;;keine;nein;;;;;;;;;;;;;
de:08127:20732;de:08127:20732;Wackershofen Bahnhof;NVBW;Rohdaten;9,6973393;49,1372084;Haltestelle-Sollposition;;nein;nein;;nein;nein;nein;nein;;nein;nein;nein;;keine;nein;;;;;;;;;;;;;
ch:23017:55721;ch:23017:55721;Neuhausen Bad Bf;NVBW;Rohdaten;8,6117324;47,6828818;Haltestelle-Sollposition;;nein;nein;;nein;nein;nein;nein;;nein;nein;nein;;keine;nein;https://mobidata-bw.de/bfrk/haltestelle/bilder/ch:23017:55721/9ea7e8e7-f2a1-4515-8c25-a2bf73c487f7.jpg;;;;;;;;;;;;
de:08136:4204;de:08136:4204;Bahnhof (Bopfingen);NVBW;Rohdaten;10,3519248;48,8552385;Haltestelle-Sollposition;;nein;nein;;nein;nein;nein;nein;;nein;nein;nein;;keine;nein;https://mobidata-bw.de/bfrk/haltestelle/bilder/de:08136:4204/d40cb771-1b1a-4947-8c91-eb624d3a9eef.jpg;https://mobidata-bw.de/bfrk/haltestelle/bilder/de:08136:4204/c586007c-43c5-4ddf-8d6e-2e5339463d60.jpg;https://mobidata-bw.de/bfrk/haltestelle/bilder/de:08136:4204/a94aa0e4-4d06-4296-bcb8-2a98b6d5f557.jpg;;;;;;;;;;
de:08236:2292;de:08236:2292;Westbahnhof (Maulbronn) ;NVBW;Rohdaten;8,7816607;48,9840296;Haltestelle-Sollposition;;nein;nein;;nein;nein;nein;nein;;nein;nein;nein;;keine;nein;;;;;;;;;;;;;
de:08119:3711;de:08119:3711;Bahnhof (Beutelsbach/Remstal);NVBW;Rohdaten;9,3856791;48,8103616;Haltestelle-Sollposition;;nein;nein;;nein;nein;nein;nein;;nein;nein;nein;;keine;nein;https://mobidata-bw.de/bfrk/haltestelle/bilder/de:08119:3711/c61156fb-0782-4e48-b8e2-226ad1e79e8d.jpg;;;;;;;;;;;;
de:08115:4786;de:08115:4786;Buch;NVBW;Rohdaten;9,0232325;48,6270835;Haltestelle-Sollposition;;nein;nein;;nein;nein;nein;nein;;nein;nein;nein;;keine;nein;;;;;;;;;;;;;
de:08226:4081;de:08226:4081;Bahnhof (Lützelsachsen);NVBW;Rohdaten;8,6495005;49,5273849;Haltestelle-Sollposition;;nein;nein;;nein;nein;nein;nein;;nein;nein;nein;;keine;nein;;;;;;;;;;;;;
